Position Name,Date,Activity Name,Total Duration,Total Player Load,Player Load Per Minute,Maximum Velocity (mph),Max Acceleration,Total Distance (y),Total IMA (Average),IMA CoD Right Medium,IMA CoD Right High,IMA CoD Left Medium,IMA CoD Left High,Velocity B4+ Total # Efforts (Gen 2),Velocity B5+ Total # Efforts (Gen 2),Velocity B6+ Total # Efforts (Gen 2),IMA Accel Medium,IMA Accel High,IMA Decel Medium,IMA Decel High,HSR Velocity Band 4 Total Distance (y),VHSR Velocity Band 5 Total Distance (y),SPR Velocity Band 6 Total Distance (y)
Defender,4/17/2023,2023 - 4-17 Training,1:00:07,427.37724,7.10757,14.71356,4.26673,4040.45823,11,12,1,10,0,72,8,0,7,5,10,5,691.74322,105.04156,6.21172
Defender,4/18/2023,WSOC Training 4-18-23,1:10:27,439.1115,6.23292,15.98291,4.32348,4426.24197,9,10,3,4,2,80,15,3,6,4,1,0,892.02754,147.16755,45.71304
Defender,4/19/2023,2023 - 4-19 Training,1:33:48,484.78386,5.16824,21.20416,4.50891,4491.37384,17,18,5,17,5,60,16,11,17,4,22,3,564.32634,120.92083,223.86264
Defender,4/20/2023,WSOC Training,1:12:23,603.22187,8.33364,16.50463,3.5818,5909.29741,10,10,3,5,1,112,10,3,16,5,5,1,1187.40155,145.43963,41.97288
Defender,4/21/2023,WSOC Training 4-21-23,0:46:59,314.48314,6.69194,13.08478,3.45903,2747.78418,6,4,1,8,1,71,3,0,10,3,6,1,595.29746,25.64523,0
Defender,4/22/2023,Activity 20230422152757,6:01:59,1421.50684,3.927,75.93175,9.99696,12519.55263,15,12,0,9,3,271,175,160,18,8,11,4,1901.89192,432.67718,2882.37084
Defender,6/16/2023,Activity 20230616104323,4:54:31,26.16775,0.08885,2.94723,0,18.52144,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Forward,7/18/2023,2023 - 7-18 Conditioning,1:49:12,676.75084,6.19735,16.20565,4.08239,2775.5477,26,34,7,21,5,21,19,15,27,10,12,4,152.84339,246.40201,624.68288
Forward,7/19/2023,2023 - 7-19 Conditioning,1:49:06,640.56268,5.87134,15.34651,4.21425,5758.61467,18,19,4,28,5,84,7,1,22,5,9,4,854.07915,73.65485,7.535
Forward,7/20/2023,2023 - 7-20 Conditioning,1:20:00,511.37564,6.56648,0,0,0,19,22,4,21,3,0,0,0,22,9,8,3,0,0,0
Forward,7/21/2023,2023 - 7-21 Conditioning,0:39:00,257.14169,6.59338,17.35522,3.58682,2487.54146,1,1,0,0,0,16,12,9,2,1,0,0,171.86132,583.55203,658.50833
Forward,7/24/2023,2023 - 7-25 Conditioning,2:40:20,907.60889,5.66076,18.98131,4.73872,8252.73984,20,10,1,23,2,100,42,17,18,10,15,7,1056.75854,605.09625,380.09623
Forward,7/26/2023,2023 - 7-26 Conditioning,0:29:00,363.26178,12.52627,16.09263,3.97153,3041.4809,3,0,0,10,3,54,36,14,2,0,0,0,800.86395,647.13472,301.42169
